pg_id,title,author,year,fictionality,language,pages
20275,History of England from the accession of James II / by Thomas Babbington Macaulay.,"Macaulay, Thomas Babington Macaulay, Baron, 1800-1859.",1884,0,eng,
21929,A master of craft; with twelve illustrations by Will Owen.,"Jacobs, W. W. 1863-1943.",1900,0,eng,339.0
28916,Some turns of thought in modern philosophy; five essays.,"Santayana, George, 1863-1952.",1967,0,eng,121.0
46384,The story of Verona / by Alethea Wiel ; illustrated by Nelly Erichsen and Helen M. James.,"Wiel, Alethea, b. 1851.",1907,0,eng,317.0
9705,"The complete mystery of Edwin Drood / by Charles Dickens ; the history, continuations, and solutions (1870-1912) by J. Cuming Walters ; with a port., ill. by Sir Luke Fildes, F. G. Kitton.","Dickens, Charles, 1812-1870.",1974,1,eng,267.0
26468,The Middle temple murder / by J.S. Fletcher.,"Fletcher, J. S. 1863-1935.",1919,1,eng,319.0
23897,The owl and the pussycat / by Edward Lear ; illustrated by Lorinda Bryan Cauley.,"Lear, Edward, 1812-1888.",1986,0,eng,
21163,The emerald city of Oz / by L. Frank Baum ; illustrated by John R. Neill.,"Baum, L. Frank 1856-1919.",1910,1,eng,
2559,Die Forsyte Saga : Roman / John Galsworthy ; autorisierte übersetzung aus dem Englischen von Luise Wolf und Leon Schalit ; Geleitwort von Thomas Mann.,"Galsworthy, John, 1867-1933.",1925,1,ger,
21525,"The man who knew too much, and other stories.","Chesterton, G. K. 1874-1936.",1922,0,eng,307.0
14668,McGuffey's new second eclectic reader : for young learners.,"McGuffey, William Holmes, 1800-1873.",1939,0,eng,162.0
28808,The scarlet pimpernel; a romance.,"Orczy, Emmuska Orczy, Baroness, 1865-1947",1912,0,eng,
9514,The poems of Edgar Allan Poe / illustrated and decorated by W. Heath Robinson,"Poe, Edgar Allan, 1809-1849",1970,0,eng,225.0
16808,"The story of the Guides,","Younghusband, G. J. 1859-1944.",1908,0,eng,207.0
40694,Philosophes et écrivains religieux et politiques.,"Barbey d'Aurevilly, J. 1808-1889.",1909,0,fre,264.0
18171,The crucifixion of Phillip Strong / Charles M. Sheldon.,"Sheldon, Charles Monroe, 1857-1946.",1950,1,eng,
9288,"Ethan Frome, by Edith Wharton.","Wharton, Edith, 1862-1937.",1925,0,eng,
8620,"The vital message, by Arthur Conan Doyle ...","Doyle, Arthur Conan, Sir, 1859-1930.",1919,0,eng,
72168,The collected works of William Hazlitt / ed. by A.R. Waller and Arnold Glover ; with an introduction by W.E. Henley.,"Hazlitt, William, 1778-1830.",1904,0,eng,
25157,Über Integralinvarianten und Differentialgleichungen.,"Lie, Sophus, 1842-1899.",1902,0,ger,73.0
9733,"Sketches by ""Boz"", Hard times, [and] Reprinted pieces.","Dickens, Charles, 1812-1870.",1883,0,eng,
10317,"Betty Gordon at boarding school; or, The treasure of Indian Chasm, by Alice B. Emerson.","Emerson, Alice B.",1921,1,eng,
9268,Omoo : a narrative of adventures in the South Seas / by Herman Melville.,"Melville, Herman, 1819-1891.",1850,1,eng,
26200,Gettysburg address,"Lincoln, Abraham, 1809-1865",1950,0,eng,
34100,"Lefty Locke, pitcher-manager / by Burt L. Standish [i.e. G. Patten] ; illustrated by Charles L. Wrenn.","Standish, Burt L., 1866-1945.",1916,1,eng,317.0
69951,Divinas palabras = Divine words : a village tragicomedy /,1866-1936.,1977,0,eng,79.0
13420,Across China on foot : life in the interior and the reform movement / by Edwin J. Dingle.,"Dingle, Edwin John.",1911,0,eng,
68496,Dwala : a romance / by George Calderon.,"Calderon, George, 1868-1915.",1904,1,eng,288.0
9026,"The innnocents abroad, or The new Pilgrim's progress; being some account of the steamship Quaker City's pleasure excursion to Europe and the Holy Land; with descriptions of countries, nations, incidents and adventures, as they appeared to the author. With two hundred and thirty-four illustrations. By Mark Twain [pseud.]","Twain, Mark, 1835-1910.",1891,0,eng,651.0
48626,Mollie's substitute husband / by Max McConn ; with frontispiece   by Edward C. Caswell.,"McConn, Max.",1920,1,eng,2.0
21394,Priscilla's spies / by G. A. Birmingham [pseud.] ...,"Birmingham, George A., 1865-1950.",1912,1,eng,4.0
900,"The history of the decline and fall of the Roman Empire. Abridged, incorporating the researches of recent commentators by William Smith.","Gibbon, Edward, 1737-1794.",1860,0,eng,
56168,"The viking age : the early history, manners, and customs of the ancestors of the English-speaking nations / by Paul B. Du Chaillu.","Du Chaillu, Paul Belloni, 1831-1903.",1988,0,eng,
47464,"The theory of spectra and atomic constitution; three essays, by Niels Bohr.","Bohr, Niels, 1885-1962.",1922,0,eng,126.0
72168,The complete works of William Hazlitt / ed. by P. P. Howe after the edition of A. R. Waller and Arnold Glover.,"Hazlitt, William, 1778-1830.",1967,0,eng,
58145,Zwei Städte : eine Erzählung in drei Büchern / Von Boz (Charles Dickens) ; Mit Sechszehn Illustrationen von Hablot K. Browne ; Aus dem Englischen von Julius Seybt.,"Dickens, Charles, 1812-1870.",1860,1,ger,
